,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
2971,3024,heavenly sword,0,4,17,12
2972,3025,chôjin densetsu urotsukidôji,0,4,6,84
2973,3026,gekijouban fate/stay night: heaven's feel - ii. lost butterfly,0,4,17,12
2974,3027,zambezia,0,16,5,3
2975,3028,migration,0,16,5,3
2976,3030,mouse guard,0,16,6,104
2977,3031,the inventor,0,16,5,3
2978,3032,gekijô-ban naruto shippûden,0,4,17,12
2979,3033,shark bait,0,16,15,9
2980,3034,titanic - la leggenda continua,0,14,6,58
2981,3035,bright: samurai soul,0,4,17,12
2982,3036,scooby-doo meets batman,0,16,15,9
2983,3037,bungou stray dogs: dead apple,0,4,10,170
2984,3038,the greening of whitney brown,0,16,15,9
2985,3039,dragon ball z - doragon bôru zetto: ryûken bakuhatsu!! gokû ga yaraneba dare ga yaru,0,4,1,69
2986,3040,fehérlófia,0,16,6,104
2987,3041,shinmai maou no testament departures,0,4,6,84
2988,3042,gojira tai hedora,0,4,15,188
2989,3043,hey arnold! the movie,0,16,5,3
2990,3044,eiga entotsumachi no puperu,0,14,6,58
2991,3045,animalympics,0,6,15,25
2992,3046,paw patrol: jet to the rescue,0,16,15,9
2993,3047,ejen ali the movie,0,4,17,12
2994,3048,dragon quest: your story,0,4,17,12
2995,3049,kaena: la prophétie,0,16,15,9
2996,3050,gulliver's travels,0,16,5,3
2997,3051,pippi longstocking,0,16,5,3
2998,3053,mia and me: the hero of centopia,0,16,15,9
2999,3054,b.o.o.: bureau of otherworldly operations,0,6,15,25
3000,3055,ramayana: the legend of prince rama,0,4,17,12
3001,3056,dragon ball z: kiken na futari! super senshi wa nemurenai,0,4,17,12
3002,3057,mad monster party?,0,6,15,25
3003,3058,latte igel und der magische wasserstein,0,16,5,3
3004,3059,coppelia,0,14,1,253
3005,3060,gojira: kaijû wakusei,0,4,17,12
3006,3061,gekijouban poketto monsutâ adobansu jenerêshon: myuu to hadou no yuusha rukario,0,4,17,12
3007,3062,kidô keisatsu patorebâ: the movie 2,0,4,8,50
3008,3063,eiga karakai jouzu no takagi-san,0,6,16,243
3009,3064,appurushîdo,0,4,17,12
3010,3065,metropia,0,8,10,140
3011,3066,kanojo no omoide,0,8,14,161
3012,3067,kidô keisatsu patorebâ: gekijô-ban,0,4,4,105
3013,3068,the little vampire 3d,0,16,5,3
3014,3069,gekijô ban kara no kyôkai: dai go shô - mujun rasen,0,4,4,105
3015,3070,chôjikû yôsai macross: ai oboeteimasuka,0,4,17,12
3016,3071,postman pat: the movie,0,6,15,25
3017,3072,nicktoons,0,4,17,12
3018,3073,stardog and turbocat,0,6,15,25
3019,3074,animal farm,0,8,6,41
3020,3075,assassination classroom: 365 days,0,4,5,21
3021,3076,gekijouban nanatsu no taizai: hikari ni norowareshi mono-tachi,0,4,6,84
3022,3077,journey back to oz,0,16,5,3
3023,3078,suzumiya haruhi no shôshitsu,0,8,15,43
3024,3079,chico &amp; rita,0,5,8,175
3025,3080,clifford's really big movie,0,16,5,3
3026,3081,to your last death,0,4,6,84
3027,3082,marnies welt,0,16,15,9
3028,3083,kabaneri of the iron fortress: unato decisive battle,0,4,17,12
3029,3084,terkel i knibe,0,6,2,99
3030,3085,urusei yatsura 1: onri yû,0,6,6,101
3031,3086,trigun: badlands rumble,0,4,17,12
3032,3087,kokoro ga sakebitagatterunda.,0,8,15,43
3033,3088,kimetsu no yaiba: asakusa hen,0,4,6,84
3034,3089,saezuru tori wa habatakanai: the clouds gather,0,5,8,175
3035,3090,dragon ball z: tobikkiri no saikyô tai saikyô,0,4,1,69
3036,3091,pourquoi j'ai pas mangé mon père,0,16,5,3
3037,3092,hello world,0,6,8,32
3038,3093,make mine music,0,16,5,3
3039,3094,tekkon kinkurîto,0,4,17,12
3040,3095,the secret of the sword,0,4,17,12
3041,3096,ai no utagoe o kikasete,0,8,12,70
3042,3097,the seven deadly sins: prisoners of the sky,0,4,6,84
3043,3098,wish dragon 2,0,16,5,3
3044,3100,gekijôban shingeki no kyojin season 2: kakusei no hôkô,0,4,6,84
3045,3101,renaissance,0,4,1,69
3046,3102,"happy halloween, scooby-doo!",0,16,5,3
3047,3103,sora no aosa o shiru hito yo,0,8,15,43
3048,3104,technotise - edit i ja,0,8,1,98
3049,3105,dragon ball z: super senshi gekiha!! katsu no wa ore da,0,4,1,69
3050,3106,golgo 13,0,4,4,105
3051,3107,banking on mr. toad,0,3,8,142
3052,3108,a boy named charlie brown,0,6,8,32
3053,3109,gekijouban naruto: buraddo purizun,0,4,6,84
3054,3110,big trip,0,16,5,3
3055,3111,lupin the iiird: chikemuri no ishikawa goemon,0,4,17,12
3056,3112,teacher's pet,0,16,5,3
3057,3113,gekijô-ban naruto: daigekitotsu! maboroshi no chitei iseki dattebayo!,0,4,17,12
3058,3114,stand by me doraemon,0,6,8,32
3059,3115,mosley,0,16,15,9
3060,3116,dragon ball z: ginga giri-giri!! butchigiri no sugoi yatsu,0,4,6,84
3061,3117,eiga slam dunk,0,6,8,32
3062,3118,les 12 travaux d'astérix,0,16,5,3
3063,3119,"race for your life, charlie brown",0,16,5,3
3064,3120,ethel &amp; ernest,0,8,11,203
3065,3121,meitantei conan: konjo no fisuto,0,4,17,12
3066,3122,"bon voyage, charlie brown (and don't come back!!)",0,16,5,3
3067,3123,poketto monsutâ: serebî - toki wo koeta deai,0,4,17,12
3068,3124,meitantei conan: tokei-jikake no matenrou,0,16,4,162
3069,3125,barbie princess adventure,0,14,2,134
3070,3126,starchaser: the legend of orin,0,4,17,12
3071,3127,blood: the last vampire,0,4,14,87
3072,3128,nagagutsu o haita neko,0,16,5,3
3073,3129,stand by me doraemon 2,0,6,8,32
3074,3130,thunderbirds are go,0,4,17,12
3075,3131,heroes of the golden masks,0,16,5,3
3076,3132,the power of the dark crystal,0,16,15,9
3077,3133,so dear to my heart,0,8,15,43
3078,3134,o menino e o mundo,0,16,15,9
3079,3135,"psiconautas, los niños olvidados",0,8,1,98
3080,3136,xiao men shen,0,6,15,25
3081,3137,quantum quest: a cassini space odyssey,0,16,1,95
3082,3138,dragon ball: shenron no densetsu,0,4,17,12
3083,3139,scooby-doo &amp; batman: the brave and the bold,0,4,5,21
3084,3140,appleseed alpha,0,4,17,12
3085,3141,zuttomaekara sukideshita.: kokuhaku jikkou iinkai,0,8,16,119
3086,3142,shrek retold,0,16,5,3
3087,3143,snoopy come home,0,16,5,3
3088,3144,koochie koochie hota hai,0,14,2,134
3089,3145,the brillant world of tom gates,0,6,8,32
3090,3146,our robocop remake,0,4,5,21
3091,3147,hagane no renkinjutsushi: mirosu no seinaru hoshi,0,4,17,12
3092,3148,king of jazz,0,6,2,99
3093,3149,legend of hallowaiian,0,16,15,9
3094,3150,ekkusu,0,4,6,84
3095,3151,dragon ball z: chikyû marugoto chôkessen,0,4,17,12
3096,3152,minuscule: la vallée des fourmis perdues,0,4,17,12
3097,3153,the haunted house: the sky ghost vs jormungandr,0,4,17,12
3098,3154,curious george 2: follow that monkey!,0,16,5,3
3099,3155,gekijô-ban hagane no renkinjutsushi: shanbara wo yuku mono,0,4,17,12
3100,3156,the water babies,0,16,15,9
3101,3157,spark: a space tail,0,4,17,12
3102,3158,valhalla,0,16,15,9
3103,3159,appurushido: ekusu makina,0,4,17,12
3104,3160,fly me to the moon,0,16,15,9
3105,3161,panique au village,0,16,5,3
3106,3162,the miracle maker,0,3,8,142
3107,3163,kôkaku kidôtai shin gekijôban,0,4,1,69
3108,3164,one piece: nejimaki shima no bôken,0,16,5,3
3109,3165,the larva island movie,0,16,5,3
3110,3166,henchmen,0,6,15,25
3111,3167,une vie de chat,0,16,5,3
3112,3168,vynález zkázy,0,16,6,104
3113,3169,gekijô-ban naruto: daikôfun! mikazukijima no animaru panikku dattebayo!,0,4,17,12
3114,3170,gekijouban shingeki no kyojin zenpen: guren no yumiya,0,4,17,12
3115,3171,cheap,0,6,6,101
3116,3172,winnie the pooh: a very merry pooh year,0,6,8,32
3117,3173,kozí príbeh,0,6,15,25
3118,3174,gekijouban fate/stay night: heaven's feel - i. presage flower,0,4,17,12
3119,3175,melody time,0,6,15,25
3120,3176,gojira: hoshi wo kû mono,0,4,17,12
3121,3177,drømmebyggerne,0,16,5,3
3122,3178,the boxcar children,0,16,15,9
3123,3179,gekijouban ano hi mita hana no namae wo bokutachi wa mada shiranai.,0,16,8,40
3124,3180,kirikou et la sorcière,0,16,15,9
3125,3181,felix the cat: the movie,0,16,5,3
3126,3182,gekijouban bleach: jigokuhen,0,4,17,12
3127,3183,my dream is yours,0,6,12,143
3128,3184,pinocchio 3000,0,14,6,58
3129,3185,icare,0,16,15,9
3130,3186,unicorn wars,0,4,5,21
3131,3187,spycies,0,4,5,21
3132,3188,kidô senshi gundam,0,4,17,12
3133,3189,pierre the pigeon-hawk,0,6,15,25
3134,3190,the prestige,6,10,1,286
3135,3191,arrival,6,10,1,286
3136,3192,ex machina,6,1,9,109
3137,3193,eternal sunshine of the spotless mind,6,15,1,455
3138,3194,the fountain,6,10,16,73
3139,3195,donnie darko,6,10,1,286
3140,3196,her,6,15,1,455
3141,3197,lucy in the sky,6,15,1,455
3142,3198,contact,6,10,1,286
3143,3199,passengers,6,15,1,455
3144,3200,the butterfly effect,6,1,9,109
3145,3201,gattaca,6,1,9,109
3146,3202,moon,6,10,1,286
3147,3203,reminiscence,7,15,1,249
3148,3204,coherence,6,10,1,286
3149,3205,twelve monkeys,7,1,9,14
3150,3206,cloud atlas,6,10,1,286
3151,3207,never let me go,6,15,1,455
3152,3208,the in between,6,15,1,455
3153,3209,signs,6,10,1,286
3154,3210,i think we're alone now,6,10,1,286
3155,3211,archive,6,10,1,286
3156,3212,freaks,6,10,1,286
3157,3213,unbreakable,6,10,1,286
3158,3214,soylent green,3,10,1,191
3159,3215,the giver,6,15,1,455
3160,3216,the arrival,7,1,9,14
3161,3217,in the shadow of the moon,3,10,1,191
3162,3218,press play,8,15,1,251
3163,3219,the handmaid's tale,6,15,1,455
3164,3220,level 16,6,1,9,109
3165,3221,the adjustment bureau,11,1,9,255
3166,3222,transcendence,2,8,1,11
3167,3223,replicas,6,1,9,109
3168,3224,corrective measures,2,1,9,23
3169,3225,the circle,6,1,9,109
3170,3226,cowboys &amp; aliens,2,1,9,23
3171,3227,johnny mnemonic,2,8,1,11
3172,3228,i am mother,6,10,1,286
3173,3229,i origins,6,10,16,73
3174,3230,surrogates,2,1,9,23
3175,3231,doomsday,2,1,9,23
3176,3232,moonshot,4,15,1,89
3177,3233,extinction,2,8,1,11
3178,3234,robocop 2,2,5,1,34
3179,3235,repo man,2,6,4,283
3180,3236,the nutty professor,4,15,1,89
3181,3237,"dude, where's my car?",4,10,1,189
3182,3238,mute,7,1,9,14
3183,3239,solaris,6,10,1,286
3184,3240,strange days,3,8,1,194
3185,3241,primer,6,1,9,109
3186,3242,the signal,6,10,1,286
3187,3243,how it ends,2,8,10,141
3188,3244,frequency,3,8,10,196
3189,3246,ultrasound,6,10,1,286
3190,3247,cryo,7,1,9,14
3191,3248,gamer,2,1,9,23
3192,3249,self/less,2,10,1,74
3193,3250,mother/android,6,1,9,109
3194,3251,judge dredd,2,5,1,34
3195,3252,the war of the worlds,2,1,9,23
3196,3253,monsters,12,8,16,108
3197,3254,k-pax,6,10,1,286
3198,3255,the manchurian candidate,6,10,1,286
3199,3256,criminal,2,1,9,23
3200,3257,superman iv: the quest for peace,2,16,1,5
3201,3258,anon,3,1,9,254
3202,3259,swan song,6,15,1,455
3203,3260,songbird,6,1,9,109
3204,3261,darkman,2,1,9,23
3205,3262,next,2,1,9,23
3206,3263,metal gear solid,2,16,1,5
3207,3264,star trek iv: the voyage home,2,16,5,18
3208,3265,live die repeat and repeat,2,16,1,5
3209,3266,kaboom,4,10,16,176
3210,3268,the 6th day,2,10,1,74
3211,3269,venom 3,2,16,1,5
3212,3270,paycheck,2,10,1,74
3213,3271,the darkest minds,2,16,8,0
3214,3272,the core,2,16,1,5
3215,3273,bicentennial man,4,8,1,145
3216,3274,take shelter,6,1,9,109
3217,3275,spy kids 2: island of lost dreams,2,16,5,18
3218,3276,little fish,6,15,1,455
3219,3277,star trek: nemesis,2,16,1,5
3220,3278,the rover,2,5,8,269
3221,3279,the thirteenth floor,7,1,9,14
3222,3280,death race 2000,2,6,1,122
3223,3281,code 8,2,5,8,269
3224,3282,untitled mad max project,2,16,1,5
3225,3283,chain reaction,2,8,1,11
3226,3284,seeking a friend for the end of the world,12,6,8,8
3227,3285,zvyozdniy razum,12,1,9,82
3228,3286,another earth,6,15,1,455
3229,3287,carriers,2,16,8,0
3230,3288,vikram,2,16,1,5
3231,3289,apex,2,1,9,23
3232,3290,perfect sense,6,15,1,455
3233,3291,southland tales,4,8,10,72
3234,3292,iron sky,2,16,5,18
3235,3293,abre los ojos,6,10,1,286
3236,3294,rim of the world,2,16,5,18
3237,3295,how i live now,2,16,8,0
3238,3296,enemy mine,2,16,8,0
3239,3297,nuevo orden,3,8,1,194
3240,3298,the vast of night,6,10,1,286
3241,3299,the x files,6,10,1,286
3242,3300,mac and me,12,6,15,7
3243,3301,2:22,6,10,16,73
3244,3302,dr. who and the daleks,12,8,1,15
3245,3303,encounter,6,1,9,109
3246,3304,the double,4,8,10,72
3247,3305,battle beyond the stars,2,16,1,5
3248,3306,thx 1138,6,1,9,109
3249,3307,the andromeda strain,7,1,9,14
3250,3308,voyage to the bottom of the sea,2,16,1,5
3251,3309,volcano,2,8,1,11
3252,3310,attack the block,2,16,5,18
3253,3311,flubber,4,14,1,173
3254,3312,2046,6,15,1,455
3255,3313,spaceman,12,8,1,15
3256,3314,who am i - kein system ist sicher,3,8,10,196
3257,3315,prospect,12,8,1,15
3258,3316,star trek iii: the search for spock,2,16,1,5
3259,3317,65,12,8,1,15
3260,3318,europa report,12,8,10,171
3261,3319,spectral,2,16,1,5
3262,3320,forever young,6,15,1,455
3263,3321,the titan,6,10,16,73
3264,3322,these final hours,6,1,9,109
3265,3323,jiu jitsu,2,1,9,23
3266,3324,inspector gadget,2,16,5,18
3267,3325,the boys from brazil,6,10,1,286
3268,3326,cherry 2000,2,16,5,18
3269,3327,star trek: generations,2,16,10,103
3270,3328,robocop 3,2,5,1,34
3271,3329,the space between us,6,15,1,455
3272,3330,cyborg,2,1,9,23
3273,3331,virtuosity,2,5,1,34
3274,3332,stealth,2,16,1,5
3275,3333,monsters of man,2,1,9,23
3276,3334,junior,4,15,1,89
3277,3335,the one,2,1,9,23
3278,3336,fahrenheit 451,6,1,9,109
3279,3337,soldier,2,8,1,11
3280,3338,red planet,2,1,9,23
3281,3339,hotel artemis,2,5,8,269
3282,3340,monster trucks,2,16,5,18
3283,3341,the division,2,1,9,23
3284,3342,parallel,6,10,1,286
3285,3343,the final countdown,2,16,1,5
3286,3344,risen,6,1,9,109
3287,3345,the silencers,2,16,5,18
3288,3346,the omega man,2,8,1,11
3289,3347,escape plan 2: hades,2,5,10,149
3290,3348,sphere,2,10,1,74
3291,3349,congo,2,16,10,103
3292,3350,superintelligence,2,6,16,166
3293,3351,daleks' invasion earth 2150 a.d.,12,8,1,15
3294,3352,timecop,2,5,1,34
3295,3353,runaway,2,5,1,34
3296,3354,babylon a.d.,2,16,1,5
3297,3355,womb,6,15,1,455
3298,3356,star trek: insurrection,2,16,1,5
3299,3357,light of my life,6,1,9,109
3300,3358,outland,2,5,1,34
3301,3359,spacecamp,12,14,1,37
3302,3360,skyline,2,1,9,23
3303,3361,"honey, i blew up the kid",12,6,15,7
3304,3362,hot tub time machine 2,4,10,1,189
3305,3363,los cronocrímenes,7,1,9,14
3306,3364,the darkest hour,2,16,14,28
3307,3365,fantastic voyage,12,14,1,37
3308,3366,the astronaut's wife,6,1,9,109
3309,3367,mission to mars,12,1,9,82
3310,3368,psycho goreman,4,13,1,20
3311,3369,the discovery,6,15,1,455
3312,3370,the fantastic four,2,16,15,83
3313,3371,the flintstones in viva rock vegas,4,14,16,67
3314,3372,the tuxedo,2,6,1,122
3315,3373,kairo,9,10,1,49
3316,3374,bride of frankenstein,6,13,1,366
3317,3375,liu lang di qiu,2,16,1,5
3318,3376,settlers,6,1,9,109
3319,3377,tekken,2,5,8,269
3320,3378,nowhere,4,8,1,145
3321,3379,no escape,2,8,1,11
3322,3380,the lazarus effect,9,10,1,49
3323,3381,skylines,2,16,1,5
3324,3382,god told me to,3,13,1,184
