,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
2702,2752,eight crazy nights,0,6,2,99
2703,2753,a shaun the sheep movie: farmageddon,0,16,5,3
2704,2754,dragon ball z: doragon bôru z - kami to kami,0,4,17,12
2705,2755,gandahar,0,16,6,104
2706,2756,the thief and the cobbler,0,4,17,12
2707,2757,rugrats in paris: the movie - rugrats ii,0,16,5,3
2708,2758,igor,0,6,15,25
2709,2759,bakemono no ko,0,4,17,12
2710,2760,paw patrol: the mighty movie,0,4,17,12
2711,2761,100% wolf,0,16,5,3
2712,2762,paddington in peru,0,16,5,3
2713,2763,the plague dogs,0,16,8,40
2714,2764,secret of the wings,0,14,6,58
2715,2765,cats &amp; dogs: the revenge of kitty galore,0,4,17,12
2716,2766,ducktales the movie: treasure of the lost lamp,0,16,5,3
2717,2767,snezhnaya koroleva,0,16,15,9
2718,2768,rupan sansei: kariosutoro no shiro,0,4,17,12
2719,2769,berserk: ougon jidai-hen ii - dorudorei koryaku,0,4,17,12
2720,2770,dragon rider,0,16,5,3
2721,2771,my little pony: equestria girls,0,6,15,25
2722,2772,rotzbub,0,6,8,32
2723,2773,the care bears movie,0,16,5,3
2724,2774,boku no hîrô akademia the movie ~ 2-ri no eiyû ~,0,4,17,12
2725,2775,evangerion shin gekijôban: ha,0,4,8,50
2726,2776,sayonara no asa ni yakusoku no hana o kazarô,0,16,8,40
2727,2777,my hero academia - boku no hîrô akademia the movie - heroes: rising - hîrôzu: raijingu,0,4,17,12
2728,2778,the star,0,16,5,3
2729,2779,hump,0,16,5,3
2730,2780,the breadwinner,0,8,15,43
2731,2781,shôjo tsubaki: chika gentô gekiga,0,8,14,161
2732,2782,woody woodpecker,0,16,5,3
2733,2783,arthur christmas,0,16,5,3
2734,2784,everyone's hero,0,16,5,3
2735,2785,phineas and ferb the movie: candace against the universe,0,16,5,3
2736,2786,the adventures of ichabod and mr. toad,0,6,15,25
2737,2787,gekijô-ban poketto monsutâ: maboroshi no pokemon: rugia bakutan,0,4,17,12
2738,2788,baiohazâdo: dijenerêshon,0,4,14,87
2739,2789,road to ninja: naruto the movie,0,4,17,12
2740,2790,neco z alenky,0,16,6,104
2741,2791,the nut job 2: nutty by nature,0,16,5,3
2742,2792,dragon ball z: moetsukiro!! nessen ressen chô-gekisen,0,4,6,84
2743,2793,regular show: the movie,0,4,17,12
2744,2794,mortal kombat legends: scorpion's revenge,0,4,17,12
2745,2795,pooh's heffalump movie,0,16,5,3
2746,2796,la casa lobo,0,8,14,161
2747,2797,kensuke's kingdom,0,4,17,12
2748,2798,one piece film z,0,4,17,12
2749,2799,recess: school's out,0,16,5,3
2750,2800,koati,0,16,15,9
2751,2801,the loud house,0,16,5,3
2752,2802,untitled shrek reboot,0,16,5,3
2753,2803,early man,0,16,5,3
2754,2804,the son of bigfoot,0,16,5,3
2755,2805,astérix: le domaine des dieux,0,16,5,3
2756,2806,valiant,0,16,5,3
2757,2807,primal: tales of savagery,0,4,17,12
2758,2808,shaun the sheep: the calacitra,0,16,5,3
2759,2809,the tigger movie,0,16,5,3
2760,2810,seoulyeok,0,4,14,87
2761,2811,nimona,0,4,17,12
2762,2812,kyûketsuki hantâ d,0,4,6,84
2763,2813,meari to majo no hana,0,16,15,9
2764,2814,american pop,0,8,11,203
2765,2815,playmobil: the movie,0,16,5,3
2766,2816,cats and peachtopia,0,16,5,3
2767,2817,the incredible mr. limpet,0,6,15,25
2768,2818,arthur et la vengeance de maltazard,0,16,15,9
2769,2819,sammy's avonturen: de geheime doorgang,0,16,15,9
2770,2820,the wild thornberrys movie,0,16,5,3
2771,2821,the jungle book 2,0,16,5,3
2772,2822,shin seiki evangelion gekijô-ban: shito shinsei,0,4,8,50
2773,2823,under the boardwalk,0,6,2,99
2774,2824,kuso,0,6,8,32
2775,2825,hoshi o ou kodomo,0,16,8,40
2776,2826,l'illusionniste,0,8,6,41
2777,2827,high in the clouds,0,16,5,3
2778,2828,las aventuras de tadeo jones,0,16,5,3
2779,2829,harold and the purple crayon,0,14,6,58
2780,2830,evangelion shin gekijôban: kyu,0,4,8,50
2781,2831,hell and back,0,16,5,3
2782,2832,inosensu: innocence,0,8,10,140
2783,2833,kaijû no kodomo,0,16,6,104
2784,2834,the powerpuff girls movie,0,4,17,12
2785,2835,a troll in central park,0,16,5,3
2786,2836,kidô senshi gandamu: senkô no hasauei,0,4,8,50
2787,2837,code geass: fukkatsu no lelouch,0,4,17,12
2788,2838,the three caballeros,0,6,15,25
2789,2839,made in abyss: tabidachi no yoake,0,16,15,9
2790,2840,eiga yurukyan,0,16,5,3
2791,2841,arctic justice,0,16,5,3
2792,2842,hey good lookin',0,6,8,32
2793,2843,meitantei conan: hiiro no dangan,0,4,4,105
2794,2844,the chipmunk adventure,0,16,5,3
2795,2845,ame wo tsugeru hyôryû danchi,0,16,8,40
2796,2846,the magic roundabout,0,16,5,3
2797,2847,kono sekai no katasumi ni,0,8,15,43
2798,2848,digimon adventure: last evolution kizuna,0,4,17,12
2799,2849,detective conan: the bride of halloween,0,4,4,105
2800,2850,doukyuusei,0,8,12,70
2801,2851,"kumo no mukô, yakusoku no basho",0,8,16,119
2802,2852,the princess and the goblin,0,16,5,3
2803,2853,si shi qing chun,0,8,16,119
2804,2854,doraemon the movie: nobita's little star wars 2021,0,4,17,12
2805,2855,felidae,0,4,8,50
2806,2856,norm of the north,0,16,5,3
2807,2857,duck duck goose,0,16,5,3
2808,2858,the drawn together movie: the movie!,0,6,10,168
2809,2859,the monkey king,0,4,17,12
2810,2860,untitled lion king prequel,0,16,8,40
2811,2861,reign of the supermen,0,4,17,12
2812,2862,hidden dragon,0,4,17,12
2813,2863,rugrats go wild,0,16,5,3
2814,2864,gintama: the final,0,4,5,21
2815,2865,dragon ball z: doragon bôru z - fukkatsu no 'f',0,4,17,12
2816,2866,the wonderful world of the brothers grimm,0,16,3,207
2817,2867,shingeki no kyojin: chronicle,0,4,17,12
2818,2868,eiga go-toubun no hanayome,0,6,8,32
2819,2869,jonah: a veggietales movie,0,16,5,3
2820,2870,justice league vs. the fatal five,0,4,6,84
2821,2871,wan pisu firumu: sutorongu warudo,0,4,17,12
2822,2872,kureopatora,0,11,16,115
2823,2873,gekijô-ban poketto monsutâ: kesshô-tô no teiô,0,4,17,12
2824,2874,pokémon: mewtwo strikes back - evolution,0,4,15,188
2825,2875,junk head,0,4,17,12
2826,2876,cheung gong 7 hou,0,16,5,3
2827,2877,blame!,0,4,8,50
2828,2878,lupin iii: the first,0,4,17,12
2829,2879,open season 3,0,16,5,3
2830,2880,robodog,0,16,5,3
2831,2881,all dogs go to heaven 2,0,16,15,9
2832,2882,fun &amp; fancy free,0,16,5,3
2833,2883,gekijouban steins;gate: fuka ryouiki no dejavu,0,10,1,178
2834,2884,terra willy: planète inconnue,0,16,5,3
2835,2885,dolphin boy,0,16,5,3
2836,2886,bilal: a new breed of hero,0,4,17,12
2837,2887,astérix: le secret de la potion magique,0,16,5,3
2838,2888,gyokou no nikuko-chan,0,6,8,32
2839,2889,"tarzoon, la honte de la jungle",12,0,5,124
2840,2890,happy family,0,6,15,25
2841,2891,metoroporisu,0,16,8,40
2842,2892,metegol,0,16,15,9
2843,2893,sen'ya ichiya monogatari,0,4,17,12
2844,2894,gekijouban poketto monsutâ: koko,0,4,17,12
2845,2895,mind game,0,16,5,3
2846,2896,atrapa la bandera,0,16,5,3
2847,2897,inu-ô,0,7,12,202
2848,2898,gekijôban hunter x hunter: the last mission,0,4,17,12
2849,2899,maya the bee movie,0,16,5,3
2850,2900,where the dead go to die,0,7,14,208
2851,2901,yu-gi-oh!: the dark side of dimensions,0,16,8,40
2852,2902,monster family 2,0,6,15,25
2853,2903,digimon: the movie,0,4,17,12
2854,2904,gulliver returns,0,16,15,9
2855,2905,promare: puromea,0,4,17,12
2856,2906,fruits basket: prelude,0,8,16,119
2857,2907,hjælp! jeg er en fisk,0,16,5,3
2858,2908,croc-blanc,0,16,8,40
2859,2909,gekijô-ban poketto monsutaa: mizu no miyako no mamori gami ratiasu to ratiosu,0,4,17,12
2860,2910,gekijô-ban naruto: daikatsugeki! yukihime ninpôchô dattebayo!!,0,4,17,12
2861,2911,tadeo jones 2: el secreto del rey midas,0,16,5,3
2862,2912,pengin haiwei,0,16,15,9
2863,2913,the pebble and the penguin,0,16,5,3
2864,2914,otesánek,0,6,8,32
2865,2915,ronal barbaren,0,4,17,12
2866,2916,meikyû monogatari,0,16,6,104
2867,2917,happily n'ever after,0,16,5,3
2868,2918,jack et la mécanique du coeur,0,16,8,40
